BBADB,1
ACDBA,2
AAABD,4
ACCDD,4
AABCD,0
DBBCB,1
CACBD,3
DCADB,1
DCADC,0
CDBCB,1
DDBBB,3
DCDBB,0
DBABB,3
CBDDD,0
DCAAD,3
DDAAA,3
ACADD,0
CDDAA,0
ADACC,0
CADAC,4
CBCCC,1
BACCB,3
ACADD,0
CDAAC,4
CBCAD,0
AABBB,3
DBBCA,2
AABBB,3
BABDA,3
ACBBB,3
DACAB,1
AABAB,0
CBDCB,1
DBCCC,1
DCDCD,0
DCAAA,3
BBDBD,3
ADBBA,3
DCCCA,1
BCADB,1
CCBAB,0
BBADD,0
ADAAD,3
ABADB,1
DCAAB,3
ACADD,0
DDDAD,4
DADAD,4
CBAAD,4
CDBCD,0
BABDB,3
DDBCC,1
DCDCA,1
BADDB,3
DACCA,3
CAACA,1
ACACB,1
CCDDC,4
ADDBD,4
DCBAB,0
CABCD,0
DCADC,0
DBAAA,0
DAABD,4
CCBCB,0
CCACC,1
CACBC,1
BBDBC,1
BDBCB,0
ABDCC,0
AACAC,4
BCCCC,1
BAACB,0
BCBDA,3
DCBBA,3
BBABA,3
BCBBA,3
ADADC,0
DCDCC,1
CBABB,3
ADBAD,0
CCBCA,1
AAABA,2
ADBDA,3
DDDAD,4
DCABA,1
ADACB,1
DDDAC,4
CBDAB,1
CBCAA,1
ACCAC,4
CBCBA,3
DBABC,1
CADBA,2
CDDDA,2
CDDCA,2
ABCDA,3
AACDA,3
AAACA,1
BABBC,1
BBDAD,4
AADBA,1
CBDDA,2
BCCBD,4
CDBCD,0
ADCDD,4
DBDDD,0
AAAAB,0
CACAC,1
ACACA,2
BBBCC,0
ADBAD,0
BDBAD,0
CDDAD,4
ADCBC,4
CDBCA,2
BCCBC,4
CDCCB,0
DACAD,4
DDACA,2
DACAB,1
AACCA,3
CCAAB,0
CBDAC,4
DCAAA,3
ACCCA,1
BDDAA,2
CDBBA,3
DADAD,4
BCDDC,4
ACDAD,4
ADDBA,2
DCAAD,3
BADCC,1
DAACC,1
CABBA,2
CCDBC,4
BDDCB,0
DADBD,0
ACADA,2
CABAA,2
DCDBD,4
CCCDB,3
CCCCB,0
ACBDC,1
CBBDA,2
AACDC,1
ACBBB,3
ADABD,0
DAACD,0
ABABA,3
ACBBD,3
DCBCB,0
BCBDC,1
CCCAC,1
CADCD,0
ABAAB,1
DBDDA,2
CDDBA,3
DCBCB,0
DDBDC,1
ADDCB,0
DCCDB,0
DACBD,0
AAADB,0
ACDBD,4
BBDAC,4
CCBDD,4
ADCBD,4
BACCB,3
ACCBB,0
CBDAD,4
DCCCA,1
BCCBB,0
ABAAC,4
ACACD,0
CBDDC,0
ACCAA,2
DBDCC,0
BBDBB,3
CABAB,0
BCCCB,0
CACDD,3
DACAD,4
ADBAC,1
DCCAC,4
BABCC,1
BAABD,4
BCCAB,0
CBBAC,4
BAADD,4
CBCAB,0
AADAA,0
AADCB,3
BADCC,1
BCDAC,4
DDAAD,3
CAADA,3
CDDAC,4
ABADA,2
AAABB,0
ACACB,1
ACABB,0
CCDDA,2
DBDCB,1
BDCDB,0
DCDBB,0
CBCCB,0
CDCCD,0
DABCC,1
DDDCA,1
ADCBC,4
DABCC,1
DCBCC,1
BCCCA,1
CBDCD,0
DBCDC,1
BBDDB,1
CDAAD,4
CCDCC,1
CBBDB,1
ADABC,1
ADBCD,0
CDCBA,3
ADDCC,1
CDDBB,3
CBABB,3
AAADB,0
BAAAD,4
CDBDB,1
DABBD,3
ACDAA,2
AADAC,4
BCAAD,3
DBBBA,3
CBADC,0
CDCDA,3
ABBAC,4
ADABA,1
CBDBC,1
BADBD,0
CBCBC,1
DBBCC,0
CCAAD,0
DDDAC,4
CBAAD,4
BBBCD,0
BABAD,0
BABBB,3
BCBDA,3
CAABC,1
BDADC,0
BAABB,0
DBAAD,4
ACCBB,0
CADBA,2
DBAAA,0
DBBCD,0
DADBD,0
BACCC,1
CCADC,1
ACACD,0
CBBAC,4
ADADA,2
BDBBB,3
CBADD,0
ACDBB,0
CBDAD,4
CAABC,1
ACAAB,3
CABAA,2
CDCBA,3
CBDDD,0
DDADC,0
BCCAC,4
CAAAA,1
BDCBA,2
ACBCD,0
CDAAB,1
BADDB,3
AAABD,4
BADBA,1
CDCCD,0
BABBA,3
BDBCC,1
CDADC,0
BACDB,3
ADDDB,0
DABBD,3
BAADB,0
DADBD,0
DADAA,0
DADCB,3
CBACA,2
CDABD,3
DABAA,1
ACBCD,0
ADBCB,0
BBCAD,0
DCCCB,0
BADBB,0
ABCBB,3
BABAD,0
CBACB,1
BCCAB,0
DCBBB,3
AACDB,3
BDBBA,3
BCBCC,1
DBBBB,3
DADCC,1
DDBCB,0
CBCCD,0
BDADA,2
ACDAA,2
CBBBA,3
CACBD,3
CDCCA,1
BAADD,4
BBADC,0
DBDBB,3
ACCBD,4
BCDAB,0
BACBD,0
BAABC,4
CACAD,0
DDDDB,0
BCDAA,2
BCBDA,3
BBCDC,1
BABBC,1
BDCCB,0
ADBAD,0
DAAAA,2
BBBDD,0
ADCCC,1
DDCDA,2
BCAAA,3
ACCBC,4
ADAAD,3
AADAD,4
ACAAA,3
DCBCD,0
ABBCD,0
CBBDA,2
DCADB,1
CCBAB,0
DCCAA,2
BBCCA,1
CDABC,1
CDDCD,0
DBADB,1
BBCBC,1
CBDDA,2
CDAAD,4
CCBBD,4
CADBB,0
AACCD,3
AADDC,1
CCABA,3
BCBAA,1
DADDA,3
DCCBC,4
ACDAB,0
CBABA,3
DBADB,1
CBBAB,1
BBCBA,3
AADCD,3
CBBAC,4
CCBDC,4
BADBD,0
ACAAA,3
DBBAA,0
CACAC,1
BACBA,1
BBCBB,3
DCAAC,1
DCBBA,3
ACACA,2
DCCCD,0
ACDBC,4
BCDBB,0
ADADD,0
CBACA,2
CABBD,4
CDCBA,3
ADABB,0
BCDCD,0
ABBAA,0
DCAAC,1
DAABD,4
CABCC,1
DCABB,0
BBBAD,4
ACBAC,1
DCBBB,3
BACBC,1
BBDCB,1
ADDCD,0
BCDDB,0
BDCBA,2
CAAAC,1
CABCB,0
ADCAA,2
CDBAB,1
BDBAD,0
BBCBC,1
ABCCB,0
AABCC,1
AABDA,3
DBCDA,3
AADCB,3
ADACD,0
BABBD,3
DBCBA,3
BBBAC,4
